Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left,Vera Molnár,"Hungarian Artist, 1924~2023",Vera Molnár was a Hungarian media artist who lived and worked in France. Molnár is widely considered to have been a pioneer of computer art and generative art and was also one of the first women to use computers in her art practice.,"https://artlogic-res.cloudinary.com/w_1100,c_limit,f_auto,fl_lossy,q_auto:good/ws-ropac/usr/images/artworks/main_image/items/05/05fd6865c7f24ef6878e59503fe61350/vem_1016_300dpi.jpg",,"Vera Molnár, Molndrian, 74,066/13.36.22, 1974, Computer drawing, 26 x 26 cm",,https://ropac.net/artists/231-vera-molnar/,"ComputerArt, 1970s, Artist", 
Left,Golan Levin,"From The USA, 1972 —","Levin, as a new media artist, engineer, and educator, often explores the expressive potential of computation in interactive art. His work is characterized by a fusion of art, technology, and interactivity, where his designs enable users to create and manipulate images and sound simultaneously, fostering playful and engaging experiences. The highly participatory nature of his projects challenges traditional boundaries between artist and audience, contributing to his significant influence in the field.
One notable example is Messa di Voce (2003), which showcases an augmented performance experience by visualizing the speech and songs of vocalists. This work explores the abstract relationship between sound and image, turning vocal expression into interactive visual forms.
Levin’s work is particularly inspiring to me because of its deep focus on interactivity and non-verbal communication, as well as its creative integration of technology. His explorations of sound, both visually and physically, offer valuable inspiration for my own practice. They encourage me to experiment with sound in both digital platforms like p5.js and through physical computing, opening new pathways for multisensory interaction.",https://www.flong.com/archive/storage/images/projects/messa_7.jpg,https://www.flong.com/archive/storage/images/projects/messa_7.jpg,Messa di Voce (2003),,https://www.flong.com/,"InteractiveArt, ComputationalDesign, MediaArtist",
left,Rafael Lozano-Hemmer,"from Mexico, 1967—","Lozano-Hemmer is renowned for his large-scale interactive installations that merge architecture, performance art, and technology. He frequently employs robotic lights, digital fountains, computerized surveillance, and telematic networks to create immersive experiences that engage audiences on both sensory and emotional levels.
His installations have been exhibited globally, including at prestigious venues such as the Museum of Modern Art in New York and the Tate Modern in London. One of his most famous works, Pulse Room (2006), features a space filled with incandescent light bulbs that flash to the beat of a viewer’s heart. This work is particularly creative in the way it transforms individual human presence into a visible, collective rhythm, making the participants’ bodies part of the installation itself.
Lozano-Hemmer’s work is highly influential, as he demonstrates how cold data—such as heartbeats and voices—can be transformed into emotionally resonant and poetic experiences. While I may not have the resources to create installations on such a large scale, his approach to humanizing technology is particularly inspiring to me. It encourages me to think about how I might design smaller-scale interactive experiences that still evoke emotional engagement. For example, I could build a machine that transforms audiences’ spoken wishes into digital letters, which are then visually piled up on a screen (I did include this for my Week 9 sketches). When a user clicks on the screen, they could open and read these wishes, creating a collective digital space for personal expression.",https://design-milk.com/images/2022/09/Rafael_Lozano-Hemmer_Pace_01.jpg,,"Paulse Room, 2006",,https://www.lozano-emmer.com/pulse_room.php,"InstallationArt, Artist, InteractiveArt, TateModern",
left,Anouk Wipprecht,"From Netherland, 1985 ---","Wipprecht is best known for her innovative fusion of fashion and technology, a field often referred to as “Fashion Tech.” She frequently integrates robotics, artificial intelligence, and interactive systems into her clothing designs. By embedding sensors and microcontrollers into garments, she explores how clothing can facilitate and augment interactions between individuals and their surroundings, turning garments into active, responsive interfaces.
One of her most renowned works, Smoke Dress (2016), is a garment that emits a veil of smoke when someone enters the wearer’s personal space, serving as a commentary on privacy, consent, and social boundaries. This work transforms fashion into an interactive shield, emphasizing the role of clothing not just as an aesthetic object, but as a medium for social communication and personal agency.
This work closely resonates with my idea of “Jay-An’s Social Distance Kits,” as both projects aim to encourage people to maintain respectful social distances. Wipprecht’s use of sensors and microcontrollers to detect proximity and trigger a response (smoke) is an excellent example of how I might apply Arduino and various components to realize my project. Additionally, her choice of materials—using polyamide and 3D printing to create both structural support and comfort—is particularly inspiring, reminding me that material selection will play a crucial role in the design and functionality of my Social Distance Kits. It encourages me to explore how materials and technology can work together to create both functional and expressive wearable designs.",https://images.squarespace-cdn.com/content/v1/56eb27558a65e2c2a033b13c/1464624555354-ZHRF12YFV7TF9Z7695BR/masterclass-with-fashiontech-specialist-anouk-wipprecht.jpg?format=1000w,,Smoke Dress (2016),,https://www.anoukwipprecht.nl/bio,"SmokeDress, MediaArtist, CyberneticCouture",
left,Julius Von Bismark,"From Germany, 1983 —","Von Bismarck’s work interrogates human perception and our relationship with nature, often deconstructing familiar objects to challenge societal norms and cultural narratives. His practice is typically interdisciplinary and conceptual, frequently involving collaborations with scientists, programmers, and designers, and utilizing scientific tools as part of his artistic process. A major theme present in his work is the subversive use of technology, particularly in how he challenges media manipulation, authorship, and the ways technology shapes our realities.
One work that particularly inspires me is Public Face (2010), a large-scale interactive public art installation that features a giant mechanical smiley face, positioned high above public spaces. The face changes its expression in real-time based on emotional analysis of passersby, effectively visualizing the collective mood in public spaces.
I find Public Face closely connected to my own Arduino project idea, “The Happiness Score Machine”, where users can enter their happiness score on a scale of 1–10, and the machine calculates the average score and displays a corresponding emoji. Von Bismarck’s work inspires me by demonstrating how invisible data, such as emotions, can be transformed into visual forms, making the intangible tangible and adding new layers of meaning to data-driven artworks. It also reminds me of the concepts of data visualization we explored in Week 6, encouraging me to think critically about how data can not only inform but also emotionally engage audiences through visual storytelling.",https://designclarity.net/files/design-clarity_an-urban-emoticon-that-measures-the-happiness-of-cities_srn13n81xh-scaled.jpg,,Public Face (2010),,https://juliusvonbismarck.com/bank/,"InstallationArt,  PublicArt, Technology",
left,Heather Dewey-Hagborg,"From The USA, 1982 —","Heather Dewey-Hagborg, as an artist and biohacker, often examines the intersections of biotechnology, surveillance, identity, and privacy. Her practice is rooted in bioart, utilizing DNA, algorithms, and biotechnology to explore these critical themes. Through extracting and analyzing genetic material, she creates visual representations that challenge viewers to question the boundaries between science and art, as well as the ethical implications of emerging technologies.
In her work Stranger Visions (2012–2013), Dewey-Hagborg collected discarded items such as hair, chewing gum, and cigarette butts to extract DNA from them. She then used this data to predict traits like eye color, ancestry, and gender, creating 3D-printed portraits of anonymous individuals. This provocative work raises important questions about genetic surveillance and the privacy of biological information, encouraging audiences to reflect on how easily personal data can be collected and interpreted without consent.
I greatly admire Dewey-Hagborg’s work, particularly in how she uses such impactful and thought-provoking methods to challenge issues of data privacy and surveillance. Her practice inspires me to consider how art can serve as a powerful tool for reflecting on the world we live in, sparking dialogue, and resonating with people on both personal and societal levels.",https://live.staticflickr.com/8563/15983790824_b68a47d3b0_b.jpg,, Stranger Visions (2012–2013),,https://deweyhagborg.com/projects/stranger-visions,"Bioart, SurveillanceArt, Data, Identity",
left,Tobias Gremmler,"From Germany, 1970—","Tobias Gremmler is renowned for his innovative fusion of technology, performance, and visual art. His work explores the transformation of tangible elements—such as motion, sound, and emotion—into visual forms, creating ethereal, poetic digital experiences. His artistic practice is heavily influenced by traditional Chinese culture, drawing inspiration from disciplines such as calligraphy, martial arts, and opera.
One of his most iconic projects, Kung Fu Motion Visualization (2016), visualizes the movements of a Kung Fu master, translating their physical motions into dynamic digital animations. What makes this work particularly fascinating is how each Kung Fu motion is embodied through distinct colors and textures, emphasizing the fluidity, strength, and grace inherent in martial arts. The resulting visuals offer a new perspective on traditional practices, blending cultural heritage with digital abstraction.
I find Gremmler’s work especially inspiring in how he focuses on cultural narratives while blending different disciplines, such as music, dance, and visual art, to exemplify the creative potential of interdisciplinary collaboration. His approach encourages me to consider how I might integrate diverse artistic forms and cultural influences into my own interactive projects, creating experiences that are both technologically innovative and deeply rooted in storytelling and emotion.",https://www.cartoonbrew.com/wp-content/uploads/2016/05/kungfu_visualization.jpg,,Kung Fu Motion Visualization (2016),,http://www.tobiasgremmler.de/hk/,"MediaArtisit, MotionVisualization,  PerformanceArt",
left,Casey Reas,"From The USA, 1972—","Reas is renowned for his influential role in the field of generative and software-based art. His work often explores the interplay between order and chaos, employing algorithms and chance operations to generate complex, evolving images.
One of his notable works, It Doesn’t Exist (In Any Other Form) (2023), explores digital and generative art forms through videos, plotter drawings, and woodblock prints. This creates a striking combination of varied colors, patterns, and textures, showcasing the dynamic interaction between different mediums.
By engaging with Reas’s creative coding processes and algorithms, I have come to appreciate how his work reveals the dual nature of code: it can be both predictable and unpredictable. Many of his pieces demonstrate a balance between randomness and logical patterns, where the outputs seem spontaneous yet are bound by rules. This reminds me of my experiences using p5.js, where functions like random() introduce chance, yet variables are still manually controlled to maintain structure. Inspired by this approach, I would like to create an artwork that invites audiences to experience both predictability and unpredictability, allowing them to explore the tension between chance and control within generative systems.",https://www.bitforms.art/wp-content/uploads/2023/10/rgb_bench_w.jpg,,It Doesn’t Exist (In Any Other Form) (2023),,https://reas.com/,"GenerativeArt, SoftwareArt, CreativeCoding",
left,Suraj Barthy,"From India, based in Brooklyn","Barthy, as a media artist, often explores how people leave traces across time. His practice blends technology, memory, and cultural heritage with physical computing, textiles, code, and video to create deeply participatory installations. His work is often rooted in personal storytelling, drawing inspiration from his own family background and experiences.
One of his most notable works, Fabric of Time, is an interactive installation that invites participants to weave a line on a loom. As they do, a camera captures their face, which is then displayed through rotating jacquard cards, alongside images of previous participants. This process creates a collective tapestry of faces, symbolizing the interconnectedness of individuals across time and space.
Barthy’s work inspires me through its deeply personal and sentimental approach, showing how interactive media can evoke intimacy and emotional resonance. It also reminds me of a work I encountered before, where an artist created a robotic typewriter powered by AI trained on her grandfather’s letters, allowing the robot to continue writing letters in his style even after his passing. This piece, much like Barthy’s, demonstrates how technology can be used to preserve memories and create heartwarming experiences. Creating emotionally rich and comforting designs is something I deeply aspire to in my own practice.",https://freight.cargo.site/t/original/i/bb166f90611a25dd8f99a259ed05ab3beb71449499aa2369a7c2ce1388f70589/web.png,, Fabric of Time,,https://surajbarthy.com/fabric-of-time,"PhysicalComputing, MediaArtisit, ParitcipatoryArt",
left,Tony Oursler,"From the USA, 1957—","Oursler is a multimedia and video installation artist known for his creepy, surreal, and psychologically intense artworks that combine sculpture, video projection, sound, and interactivity. His work is highly experimental and eerie, often rooted in themes such as psychology, media addiction, and the subconscious, incorporating distorted human faces, voices, and fragmented narratives.
One of his notable projects, Talking Heads / Projected Sculptures (1990), involves projecting video faces onto physical objects, such as soft dolls, blobs, and sculptures. These disembodied heads speak, blink, laugh, or whisper, creating intimate yet unsettling encounters that blur the line between the real and the virtual.
What inspires me most about Oursler’s work is not just the technical aspects, but how he uses interactivity to create powerful emotional atmospheres, evoking intense, eerie, and surreal experiences. His work encourages me to think about how I might design projects that provoke similar emotional responses. For example, I could create a robot with a screen displaying animated eyes that constantly track and follow the user wherever they go, creating a sense of discomfort and psychological tension through interaction.",https://images.squarespace-cdn.com/content/v1/58121f0bd1758eacbcccef4a/1490737903579-I4XLOVP0RY85J5LBX7GZ/faurschou_10_bilocation_big.jpg?format=1000whttps://images.squarespace-cdn.com/content/v1/58121f0bd1758eacbcccef4a/1490737903579-I4XLOVP0RY85J5LBX7GZ/faurschou_10_bilocation_big.jpg?format=1000w,,Talking Heads / Projected Sculptures (1990),,https://tonyoursler.com/,"MediaArtist, VideoInstallation, ConceptualArt",
